,review,label
0,ürün iyi güzel ilk başlarda windows 10 kurdum laptobun mousu çalışmadıama sonradan windows 11 formatı atınca işler degişti eksiksiz herşeyitamam lenovo orjinal kutusunda geliyo güzel film izlemelik günlük işlerihalletme lik ve 3gündür kullanıyorum başarılızaten lenovo ne beklersin ,pozitif
1, Merhabalar Hayırlı işler Bilgisayar WİNDOWSSUZ geldi Ne yapmalıyım geridönüş yapacağım mı ,nötr
2, Ben derslerim için aldım çok yardımcı oldu tavsiye ederimm ,pozitif
3, satıcı kargoya ürünü çok geç vermiş olmasına mı yoksa laptop yerine kapıyayına benzeyen birçubuk göndermesine mi yoksa ürünü tedarik edemedikdemesine mi nereden baksan kesinlikle tavsiye etmiyorum hayatımdayaşadıgım  en kötü alışveriş deneyimi oldu ,negatif
4, çok güzel hızlı güvenilir ,pozitif
5, güzel tavsiye ederim ,pozitif
6, iyi günler bilgisayarın şarjı çabuk bitiyor ve çok kızıyor neden acabailetişim numarası verirmisiniz kimle görüşmemiz lazim ,negatif
7, Ürünüm kusurlu geldi 😩 ,negatif
8, Vindows u yüklü değil ama yinede kaliteli ürün zaten lenovo kalitesiyle geliyor ,pozitif
9, eşim için aldım gayet memnun kaldı ,pozitif
10, ürün çok güzel hızlı elime ulaştı teşekkür ederim saticiya ,pozitif
11, Ürün güzel sıkıntısız ,pozitif
12, almayin aldirmayin gidin yüklü bir windows cihaz alin ,negatif
13, çocuk ders çalışsın diye aldım ders çalışmak için hiçbir sıkıntı yokyalnız oyun falan oynayacaksanız kesinlikle almayın ,nötr
14," Ürün bugün elime ulaştı, kurulumunu daha yapmadım ama sağlam ve özenlepaketlenmiş şekildeydi. Teşekkür ederim. ❤️ ",pozitif
15," Ürün güzel beklediğim gibi sadece kurulum kişinin kendisine ait, uygun ,şarj aleti yanında güzel bir ürün. ",pozitif
16, kurulumunu ymayi bilmiyorum yardımcı olurmusun ,nötr
17, Daha kullanmadik kullandıkça yorumu güncellerim. ,nötr
18, iyi gayet sorunu yok ,pozitif
19, Çok kötü hoşuma gitmedi ve sistem çalışmıyor ,negatif
20, Ürün sağlam oyun 60-90 fps arası kasmadan oynatıyor herhangi bir kusuryok güzel cihaz tavsiye ederim ,pozitif
21, kurulumunu henüz yapamadım. Nasıl olacak bilmiyorum hiç kurulu değilfabrika çıkışlı geliyor. ,nötr
22, Urun harika tavsiye ediyorum ,pozitif
23, bayıldım  kargom kusursuzdu özenle paketlenmişti teşekkürler ♥️ ,pozitif
24, sarji gelmedi ama çok beyendim ,pozitif
25, Şuan uygulama yüklemede sorun çekiyorum ilk geldiğinde yazılım atmakgerekiyormuş bunu bilerek alın ben bilmiyordum ,nötr
26, ürünü bugün teslim aldım çok güzel paketlenmisti. Ayrıca satıcıya çokçok teşekkür ederim sorularıma tek tek yanıt verdi. İnşallah çok memnunkalırım 🌸 ,pozitif
27, ürün güzel sorunsuz geldi ,pozitif
28, Hocam aşama aşama çıkan resimleri yolladım size,nötr
29,23.01.2024: Valorant gibi dereceli oyunlarda en düşük ayarlarda 70 fps alıyorum. roblox kasmadan oynanıyor. ilk win 10 kurulumundan sonra wifi gözükmeyebilir. o sorun için asus sitesinden win 11 için olan driver bölümünden (merak etmeyin sistem win 11 driverlarini kabul eder) network yazan driveri cihazınıza atıp kurun. (touchpad driveriri kurmama ragmen touchpad çalışmamaktadır.),negatif
30,18.07.2024: Tesekkur ederim ,pozitif
31, 23.03.2024: Şimdilik memnunum. Bir sıkıntı yaşamadım. Ama ofis harici de kullanmadım henüz. Freedos olması biraz zorladı sadece. ,pozitif
32, 22.03.2024: fiyat performans olarak iyi ,pozitif
33, 15.03.2024: Fiyat performans ürünü 8gb onboard olması ve ram artırılamaması kötü ancak lehimli ramin ddr5 olması günlük kullanım için yeterli olmasını sağlıyor. ,nötr
34," 28.02.2024: Fiyat performans ürünü. Göründüğü gibi geldi, gayet iyi. Hasarsız. ",pozitif
35, 20.01.2024: Gayet güzel ve hızlı ,pozitif
36, 21.12.2023: Sifir diye aldim kutu bandrolu acik geldi https://linksharing.samsungcloud.com/vRrEB3ucPhd8 ,negatif
37, 18.07.2024: Tesekkur ederim ,pozitif
38, 23.03.2024: Şimdilik memnunum. Bir sıkıntı yaşamadım. Ama ofis harici de kullanmadım henüz. Freedos olması biraz zorladı sadece. ,pozitif
39, 22.03.2024: fiyat performans olarak iyi ,pozitif
40, 15.03.2024: Fiyat performans ürünü 8gb onboard olması ve ram artırılamaması kötü ancak lehimli ramin ddr5 olması günlük kullanım için yeterli olmasını sağlıyor. ,pozitif
41," 28.02.2024: Fiyat performans ürünü. Göründüğü gibi geldi, gayet iyi. Hasarsız. ",pozitif
42, 20.01.2024: Gayet güzel ve hızlı ,pozitif
43, 21.12.2023: Sifir diye aldim kutu bandrolu acik geldi https://linksharing.samsungcloud.com/vRrEB3ucPhd8 ,negatif
44, 18.07.2024: Tesekkur ederim ,pozitif
45, 23.03.2024: Şimdilik memnunum. Bir sıkıntı yaşamadım. Ama ofis harici de kullanmadım henüz. Freedos olması biraz zorladı sadece. ,pozitif
46, 22.03.2024: fiyat performans olarak iyi ,pozitif
47, 15.03.2024: Fiyat performans ürünü 8gb onboard olması ve ram artırılamaması kötü ancak lehimli ramin ddr5 olması günlük kullanım için yeterli olmasını sağlıyor. ,pozitif
48," 28.02.2024: Fiyat performans ürünü. Göründüğü gibi geldi, gayet iyi. Hasarsız. ",pozitif
49, 20.01.2024: Gayet güzel ve hızlı ,pozitif
50, 21.12.2023: Sifir diye aldim kutu bandrolu acik geldi https://linksharing.samsungcloud.com/vRrEB3ucPhd8,negatif
51,21.09.2024: Gayet güzel kampanya idi sanki ucuza aldım ,pozitif
52, 25.05.2024: 1.Cihaz estetik olarak çok güzel. 2.Hızı süper. 3.Açılışı kapanışı çok hızlı. 4.Bir tane harici ram yuvası var. 5.Bir tanede boş nvm disk yuvası var. 6.Eski tip harddisk takacak yer ve yuva yok. 7.Her oyunu uzun süre oynayacağınız bir ekran kartına sahip. 8.Ekran kalitesi ve görüntü kalitesi güzel. 9.Alanı mutlu edecek bir cihaz. 10.İşletim sistemi kurarken cihazın irst driverlarını sitesinden indirerek flash belleğinize yükleyiniz.Yoksa kurulumda harddiskiniz görünmeyecektir. ,pozitif
53, 17.04.2024: guzel,pozitif
54,27.09.2024: Daha kullanmadım ama ürün elime hasarsız ulaştı ,nötr
55, 18.09.2024: Piyasadan çok çok ucuza geldi ,pozitif
56, 18.09.2024: Fiyat performans ürünü ,pozitif
57, 17.09.2024: Mağazadan çok memnun kaldım. ,pozitif
58, 12.09.2024: fiyat performans ürünü ,pozitif
59," 08.09.2024: fiyatina göre guzel bilgisayar. alüminyum tasarım, ince ve hızlı gercekten ",pozitif
60, 03.09.2024: güzel ürün tavsiye ederim. ,pozitif
61, 23.08.2024: fiyat performans ürünü ,pozitif
